x,y,z	
6250.596390,11859.892156,-21400.000000
-4166.212998,5972.737046,-18500.000000
-5550.586924,9720.836564,-23400.000000
8480.812518,5906.041492,-24500.000000
9592.230305,-1168.655176,-27900.000000
-9240.950138,8787.381811,-16500.000000
-5144.896828,10169.011576,-25500.000000
8530.622352,1698.232085,-25700.000000
-8785.510360,13334.313415,-26000.000000
-6917.136877,12029.259761,-24400.000000
-7949.927711,4373.792469,-18500.000000
-20826.020822,-1336.158850,-5200.000000
-5754.833426,9607.481507,-23600.000000
-2552.992685,16736.100473,-11100.000000
9952.454011,3154.716496,-25000.000000
-12803.196498,21588.803400,-16800.000000
4376.975187,5192.454920,-26800.000000
3868.383447,4743.293092,-28200.000000
-5150.543096,2526.829925, -0.000000
-5454.798593,10275.829564,-25200.000000
-4705.506086,7959.491127,-25700.000000
13196.639976,7068.534684,-31200.000000
-5367.441271,11495.242165,-3100.000000
-2150.494018,1014.191612,-16100.000000
-828.770968,10444.695001,-25600.000000
26103.340112,11530.434925,-10800.000000
-7193.005324,9478.340575,-24500.000000
-1681.772391,12870.637147,-24800.000000
3029.865430,6062.098750,-25800.000000
3334.223986,6398.053863,-26100.000000
6365.853589,2226.177890,-25000.000000
-5760.474760,10050.430203,-28000.000000
2553.767784,2955.269964,-19100.000000
-4730.766703,9952.753857,-24700.000000
4940.416432,1101.529891,-27500.000000
6663.572355,3115.731760,-25700.000000
6659.599002,3447.929692,-26700.000000
-9361.012748,10114.913781,-19900.000000
16028.708763,11198.347950,-15100.000000
8855.428797,9011.374194,-19100.000000
-7160.308215,6931.366796,-22600.000000
-5174.403348,12494.483016,-28800.000000
-10809.306245,2896.742441,-21700.000000
2840.477117,4730.784687,-29100.000000
6113.838195,6099.359477,-28800.000000
7045.624019,5556.755426,-26400.000000
-4630.741222,10175.529442,-25300.000000
1769.116881,8261.704783,-27800.000000
8524.063890,2251.892244,-24500.000000
-5864.716446,10159.857557,-25000.000000
-6091.558690,11818.293627,-26500.000000
-4084.952562,15830.866846,-27300.000000
9598.266202,78344.299521,-35100.000000
-13102.018752,28673.376105,-11100.000000
-1729.383266,8439.942761,-25700.000000
7583.303516,3569.696857,-26300.000000
-8922.684569,15990.697211,-21200.000000
3843.672581,-1680.528734,-20000.000000
7369.828254,4231.643250,-25900.000000
7271.001648,3898.221923,-25600.000000
-7729.930569,11243.542684,-22100.000000
-7118.569435,11694.413232,-20000.000000
-4363.400798,5305.711761,-22500.000000
5364.957937,8526.840391,-24600.000000
17794.141756,9667.832584,-21300.000000
-283.077001,7904.165212,-26200.000000
-3196.336575,2440.841273,-16400.000000
-341.934846,4359.362727,-23400.000000
-761.358708,5018.667292,-23600.000000
10580.782933,2165.367158,-23600.000000
8051.805212,24838.542355,-9500.000000
7866.663739,5677.270313,-22400.000000
8994.792533,5912.112029,-20100.000000
5270.616399,16388.821145,-22900.000000
-9831.666634,22624.325687,-19000.000000
275722.816630,-161335.838415,-38300.000000
276201.619213,-115609.188856,-29000.000000
-2957.637102,7981.549781,-23800.000000
-2947.896950,7206.396326,-24000.000000
-3505.177285,10632.752450,-27000.000000
-8195.563241,7471.820622,-19800.000000
26099.802615,11862.607097,-11000.000000
43845.826735,198597.828048,-17100.000000
2436.085418,4172.090611,-18200.000000
 22.624440,8129.453170,-23500.000000
-6899.179675,18674.796732,-22900.000000
-7749.242515,20768.273231,-17000.000000
-372.160821,6795.539840,-24400.000000
2215.604041,13804.674053,-21200.000000
-8281.221917,14116.110326,-20000.000000
-5337.892341,9169.766499,-19700.000000
-5126.617818,8729.431299,-19900.000000
-618.990289,10115.041374,-25900.000000
-7818.523010,10134.840338,-25600.000000
3666.838683,4408.595731,-26100.000000
-3162.805968,-216.848226,-16300.000000
8098.520964,3465.070920,-25100.000000
10057.830894,2934.460774,-22200.000000
-3613.587580,11074.402481,-24500.000000
-8882.641289,12890.032209,-19500.000000
3987.294798,3415.736160,-27800.000000
-2942.329863,6763.451226,-26900.000000
-7281.613265,8369.641274,-27400.000000
-6409.981774,12589.518307,-23400.000000
-12874.349026,27014.998668, -0.000000
-880.684120,6346.214951,-23500.000000
-484.583802,7569.410914,-24700.000000
-6466.133758,8933.871559,-12500.000000
-1097.319034,7229.540476,-21700.000000
-474.967089,6794.264596,-23700.000000
-761.634097,13325.074427,-27900.000000
5593.039666,-1880.836444,-15700.000000
-4290.038679,7632.489071,-17400.000000
3989.982411,3194.268660,-27300.000000
13907.364575,7851.907673,-21600.000000
-1618.276268,7776.812209,-24700.000000
3131.207204,-2242.973405,-13200.000000
9753.411605,2598.643561,-23000.000000
-3307.496793,3103.966451,-14900.000000
-6833.411026,5495.730061,-18300.000000
-3902.543462,9520.207293,-17500.000000
7394.894726,2127.728418,-25200.000000
6919.059171,7548.708106,-15100.000000
7966.831527,5899.953667,-25600.000000
-7344.135180,13242.102193,-26000.000000
269.323743,4809.946203,-19600.000000
-1816.986632,7220.566584,-23200.000000
5630.461076,3546.335959,-25200.000000
-12134.606050,9857.174329,-12900.000000
-3282.860346,-6974.442048,-10000.000000
5906.912907,6207.627404,-24300.000000
3363.864978,3961.910290,-27200.000000
-2000.439599,5446.221246,-18500.000000
-6163.317832,9380.762510,-25600.000000
-3303.306127,2771.755740,-14100.000000
-7243.190237,5379.710341,-18900.000000
6615.925115,7102.099535,-19100.000000
-4422.278180,9956.658632,-24100.000000
-4530.712570,10398.304105,-25300.000000
-6897.288520,10478.934532,-23000.000000
7691.352178,3127.990599,-25500.000000
-10336.203474,21842.500426,-21700.000000
-5520.986849,7395.354867,-28500.000000
-7098.697754,10144.086214,-27800.000000
-7387.279403,8589.796499,-23200.000000
-5857.638348,17691.264316,-12100.000000
4403.783794,2977.785097,-26700.000000
-1291.898342,6341.095275,-25200.000000
-1091.805555,6786.598580,-23500.000000
-5650.595949,9498.053673,-11500.000000
6219.288809,5879.125763,-23700.000000
-3403.736562,10744.782209,-23200.000000
5559.675877,887.501975,-27300.000000
6352.584210,3333.506165,-27600.000000
5733.242612,3547.571716,-25100.000000
-5437.899944,8946.984818,-26200.000000
-4512.493117,8958.727678,-23200.000000
-3294.923215,2107.333985,-22200.000000
299.474154,2373.770004,-20100.000000
182.982303,3479.851150,-23300.000000
6575.375598,1896.441557,-27900.000000
-4112.391630,9849.820753,-25700.000000
2035.594685,11698.228341,-28500.000000
-6015.251310,5838.472917,-21900.000000
-4811.131453,8179.661262,-27600.000000
1698.901594,5602.821511,-20200.000000
6604.558652,-539.684002,-20300.000000
5978.716563,228.048193,-21100.000000
5908.241127,6096.894782,-25100.000000
4262.118717,6187.811017,-24700.000000
-3436.822467,5206.669124,-13600.000000
4319.412864,9953.978222,-23200.000000
7060.151034,4338.700262,-24400.000000
-7631.359431,11577.077898,-22100.000000
-14506.159765,33639.017916,-7600.000000
6056.206988,2333.212502,-27000.000000
-7707.143906,9471.734994,-19000.000000
-2840.913720,6875.479316,-25600.000000
